osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,min,max,building_classification,community_name,fractal_dimensions,building_height,height_area,volume,length_width,building_type,predicted,actual,status
146311312.0,236375.9673,458215.524,1358.082946,154.165029,1.181596,147.32737,44.596852,51.813265,9.0,1159.061592,0.853454,52.467245,1.585112,15.80198097,27.64067459,Commercial,cambridge bay,8.809280255121932,11.83869362,0.008717209545167207,16077.927908241003,1.161814403402285,Commercial,Commercial,Commercial,Correct
146311316.0,236330.6174,458523.3054,463.591172,87.96968299999997,1.154016,87.96968299999997,29.283676,22.137738,5.0,383.796205,0.8278760000000001,31.669104,1.534323,16.85287857,21.86976051,Residential,cambridge bay,5.269897039415271,5.0168819399999975,0.010821780575234936,2325.782178350232,0.7559753768618394,Multi-Unit Residential,Industrial,Residential,Incorrect
146311319.0,236243.3362,458305.5581,1221.919762,149.32208,1.206561,149.32208,42.425538,56.38860699999999,8.0,889.5100480000001,0.727961,56.26394200000001,1.402091,15.35261822,23.76620102,Commercial,cambridge bay,8.183115062420775,8.4135828,0.006885544420878268,10280.723092543294,1.3291194327341231,Commercial,Commercial,Commercial,Correct
146311320.0,236753.9965,458352.1783,115.094977,44.7107,1.177144,44.7107,16.198747,12.276077,5.0,89.339732,0.776226,16.412461999999998,1.4751610000000002,10.60272408,13.28372574,Residential,cambridge bay,2.574215500987459,2.68100166,0.02329381985106092,308.56982439466185,0.757841146602265,Single-Unit Residential,Residential,Residential,Correct
146311322.0,235993.5425,458208.1908,669.116281,151.280944,1.6518849999999998,145.29267,61.574825,18.019949,7.0,293.772362,0.439045,61.846853,0.943883,8.738389969,17.48657227,Commercial,cambridge bay,4.423004400342715,8.748182301,0.01307423320790486,5853.551206755142,0.29265124180214885,Commercial,Residential,Commercial,Incorrect
146311323.0,235973.0948,458282.1157,1295.778294,150.05615500000005,1.177429,144.003413,37.312518,43.64066500000001,9.0,1151.478503,0.888639,51.085521,1.590203,11.43058777,20.90433121,Commercial,cambridge bay,8.63528919556815,9.473743439999998,0.0073112379516368075,12275.871112476887,1.1695984977481286,Commercial,Commercial,Commercial,Correct
146311324.0,236281.3417,458095.8956,293.659783,69.022594,1.137668,69.022594,24.465215,23.733083,5.0,259.692952,0.884333,24.558054,1.574756,12.1724987,18.19167137,Commercial,cambridge bay,4.254545736139677,6.0191726700000014,0.020497095681637826,1767.588940111731,0.9700745732257,Commercial,Industrial,Commercial,Incorrect
146311325.0,236027.0783,458366.673,1054.558416,194.530435,1.691993,175.298625,73.976878,26.49306,13.0,531.1497009999998,0.50367,74.104042,0.988959,14.07149506,24.10364532,Commercial,cambridge bay,5.421045894438062,10.032150259999998,0.009513129010010193,10579.488487259587,0.35812622425077195,Commercial,Commercial,Commercial,Correct
146311326.0,235834.509,458225.1114,856.474427,143.151509,1.381609,134.737251,51.96532,26.120613,11.0,555.779798,0.6489159999999999,53.095262,1.243903,5.812362671,19.7977581,Commercial,cambridge bay,5.982992655704384,13.985395429,0.016329028617920432,11978.133536421194,0.5026547127969192,Commercial,Commercial,Commercial,Correct
146311329.0,235864.2976,458188.1393,482.546574,105.408294,1.35535,105.408294,41.683954,17.143329,5.0,280.270605,0.580816,42.848788,1.156954,5.65164566,10.93845749,Residential,cambridge bay,4.577880503407067,5.28681183,0.010956065413905515,2551.13293594917,0.4112692620282615,Multi-Unit Residential,Residential,Residential,Correct
